"","City"
"1","Abington"
"2","Acton"
"3","Amesbury"
"4","Andover"
"5","Arlington"
"6","Ashby"
"7","Ashland"
"8","Attleborough"
"9","Avon"
"10","Ayer"
"11","Bedford"
"12","Bellingham"
"13","Belmont"
"14","Beverly"
"15","Billerica"
"16","Boston"
"17","Boxborough"
"18","Boxford"
"19","Braintree"
"20","Bridgewater"
"21","Brockton"
"22","Brookline"
"23","Burlington"
"24","Cambridge"
"25","Canton"
"26","Carlisle"
"27","Carver"
"28","Chelmsford"
"29","Chelsea"
"30","Cohasset"
"31","Concord"
"32","Danvers"
"33","Dedham"
"34","Dover"
"35","Dracut"
"36","Dunstable"
"37","Duxbury"
"38","East Bridgewater"
"39","Easton"
"40","Essex"
"41","Everett"
"42","Foxborough"
"43","Framingham"
"44","Franklin"
"45","Georgetown"
"46","Gloucester"
"47","Groton"
"48","Groveland"
"49","Halifax"
"50","Hamilton"
"51","Hanover"
"52","Hanson"
"53","Harvard"
"54","Haverhill"
"55","Hingham"
"56","Holbrook"
"57","Holliston"
"58","Hopkinton"
"59","Hudson"
"60","Hull"
"61","Ipswich"
"62","Kingston"
"63","Lakeville"
"64","Lawrence"
"65","Lexington"
"66","Lincoln"
"67","Littleton"
"68","Lowell"
"69","Lynn"
"70","Lynnfield"
"71","Malden"
"72","Manchester-by-the-Sea"
"73","Mansfield"
"74","Marblehead"
"75","Marlborough"
"76","Marshfield"
"77","Maynard"
"78","Medfield"
"79","Medford"
"80","Medway"
"81","Melrose"
"82","Merrimac"
"83","Methuen"
"84","Middleborough"
"85","Middleton"
"86","Milford"
"87","Millis"
"88","Milton"
"89","Nahant"
"90","Natick"
"91","Needham"
"92","Newbury"
"93","Newburyport"
"94","Newton"
"95","Norfolk"
"96","North Andover"
"97","Attleborough"
"98","North Reading"
"99","Norton"
"100","Norwell"
"101","Norwood"
"102","Peabody"
"103","Pembroke"
"104","Pepperell"
"105","Plainville"
"106","Plymouth"
"107","Plympton"
"108","Quincy"
"109","Randolph"
"110","Raynham"
"111","Reading"
"112","Revere"
"113","Rockland"
"114","Rockport"
"115","Rowley"
"116","Salem"
"117","Salisbury"
"118","Saugus"
"119","Scituate"
"120","Sharon"
"121","Sherborn"
"122","Shirley"
"123","Somerville"
"124","Southborough"
"125","Stoneham"
"126","Stoughton"
"127","Stow"
"128","Sudbury"
"129","Swampscott"
"130","Taunton"
"131","Tewksbury"
"132","Topsfield"
"133","Townsend"
"134","Tyngsborough"
"135","Wakefield"
"136","Walpole"
"137","Waltham"
"138","Watertown"
"139","Wayland"
"140","Wellesley"
"141","Wenham"
"142","West Bridgewater"
"143","West Newbury"
"144","Westford"
"145","Weston"
"146","Westwood"
"147","Weymouth"
"148","Whitman"
"149","Wilmington"
"150","Winchester"
"151","Winthrop"
"152","Woburn"
"153","Wrentham"
